2022-11-28 17:51:58,203 [trainer.py] => config: ./exps/bic.json
2022-11-28 17:51:58,205 [trainer.py] => prefix: reproduce
2022-11-28 17:51:58,205 [trainer.py] => dataset: cifar100
2022-11-28 17:51:58,205 [trainer.py] => memory_size: 2000
2022-11-28 17:51:58,205 [trainer.py] => memory_per_class: 20
2022-11-28 17:51:58,205 [trainer.py] => fixed_memory: False
2022-11-28 17:51:58,206 [trainer.py] => shuffle: True
2022-11-28 17:51:58,206 [trainer.py] => init_cls: 10
2022-11-28 17:51:58,206 [trainer.py] => increment: 10
2022-11-28 17:51:58,206 [trainer.py] => model_name: bic
2022-11-28 17:51:58,206 [trainer.py] => convnet_type: resnet32
2022-11-28 17:51:58,206 [trainer.py] => device: [device(type='cuda', index=0), device(type='cuda', index=1), device(type='cuda', index=2), device(type='cuda', index=3)]
2022-11-28 17:51:58,212 [trainer.py] => seed: 1993
Files already downloaded and verified
Files already downloaded and verified
2022-11-28 17:52:00,900 [data_manager.py] => [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2022-11-28 17:52:01,239 [trainer.py] => All params: 464154
2022-11-28 17:52:01,239 [trainer.py] => Trainable params: 464154
2022-11-28 17:52:01,240 [bic.py] => Learning on 0-10
2022-11-28 17:52:01,254 [bic.py] => Parameters of bias layer:
2022-11-28 17:52:01,255 [bic.py] => 0 => 1.000, 0.000
2022-11-28 17:52:28,493 [bic.py] => training => Task 0, Epoch 1/170 => Loss 2.810, Train_accy 18.620, Test_accy 17.000
2022-11-28 17:52:34,436 [bic.py] => training => Task 0, Epoch 2/170 => Loss 2.009, Train_accy 28.020, Test_accy 29.500
2022-11-28 17:52:40,210 [bic.py] => training => Task 0, Epoch 3/170 => Loss 1.822, Train_accy 31.200, Test_accy 32.300
2022-11-28 17:52:46,376 [bic.py] => training => Task 0, Epoch 4/170 => Loss 1.678, Train_accy 36.700, Test_accy 34.000
2022-11-28 17:52:52,164 [bic.py] => training => Task 0, Epoch 5/170 => Loss 1.582, Train_accy 39.840, Test_accy 40.400
2022-11-28 17:52:58,042 [bic.py] => training => Task 0, Epoch 6/170 => Loss 1.529, Train_accy 39.260, Test_accy 42.300
2022-11-28 17:53:04,008 [bic.py] => training => Task 0, Epoch 7/170 => Loss 1.438, Train_accy 51.100, Test_accy 50.700
2022-11-28 17:53:10,078 [bic.py] => training => Task 0, Epoch 8/170 => Loss 1.335, Train_accy 46.740, Test_accy 47.300
2022-11-28 17:53:15,877 [bic.py] => training => Task 0, Epoch 9/170 => Loss 1.303, Train_accy 53.480, Test_accy 51.300
2022-11-28 17:53:21,924 [bic.py] => training => Task 0, Epoch 10/170 => Loss 1.226, Train_accy 54.260, Test_accy 53.500
2022-11-28 17:53:27,823 [bic.py] => training => Task 0, Epoch 11/170 => Loss 1.187, Train_accy 49.540, Test_accy 46.100
2022-11-28 17:53:33,923 [bic.py] => training => Task 0, Epoch 12/170 => Loss 1.153, Train_accy 62.680, Test_accy 61.300
2022-11-28 17:53:39,726 [bic.py] => training => Task 0, Epoch 13/170 => Loss 1.099, Train_accy 61.560, Test_accy 60.800
2022-11-28 17:53:45,543 [bic.py] => training => Task 0, Epoch 14/170 => Loss 1.020, Train_accy 64.160, Test_accy 60.900
2022-11-28 17:53:51,529 [bic.py] => training => Task 0, Epoch 15/170 => Loss 0.950, Train_accy 69.640, Test_accy 67.300
2022-11-28 17:53:57,790 [bic.py] => training => Task 0, Epoch 16/170 => Loss 0.918, Train_accy 68.540, Test_accy 68.300
